Statement,Link,Date
"Max Collins, Pancho Magno kumpirmadong hiwalay na: 'Every separation is difficult...'",https://balita.mb.com.ph/2023/05/30/max-collins-pancho-magno-kumpirmadong-hiwalay-na-every-separation-is-difficult/,"May 30,  2023"
"Jonathan Manalo, iba pang nakatrabaho at kaibigan dumepensa para kay Moira Dela Torre",https://balita.mb.com.ph/2023/05/30/jonathan-manalo-iba-pang-nakatrabaho-at-kaibigan-dumepensa-para-kay-moira-dela-torre/,"May 30,  2023"
"35-anyos na lalaki, patay sa aksidente sa Isabela",https://balita.mb.com.ph/2023/05/29/35-anyos-na-lalaki-patay-sa-aksidente-sa-isabela/,"May 29,  2023"
"Publiko, pinaalalahanan ng PhilHealth laban sa altapresyon",https://balita.mb.com.ph/2023/05/29/publiko-pinaalalahanan-ng-philhealth-laban-sa-altapresyon/,"May 29,  2023"
"Sarah G, Bamboo, sanib-puwersa sa isa na namang concert sa Hulyo",https://balita.mb.com.ph/2023/05/29/sarah-g-bamboo-sanib-puwersa-sa-isa-na-namang-concert-sa-hulyo/,"May 29,  2023"
"15 examinees, pasado sa May 2023 Licensure Examination for Dental Hygienists",https://balita.mb.com.ph/2023/05/29/15-examinees-pasado-sa-may-2023-licensure-examination-for-dental-hygienists/,"May 29,  2023"
"20 bayan sa Bicol, nagsuspinde ng klase dahil kay 'Betty'",https://balita.mb.com.ph/2023/05/29/20-bayan-sa-bicol-nagsuspinde-ng-klase-dahil-kay-betty/,"May 29,  2023"
"PhilHealth, nagbabala laban sa altapresyon",https://balita.mb.com.ph/2023/05/29/philhealth-nagbabala-laban-sa-altapresyon/,"May 29,  2023"
"‘Dangerous’ heat index, naitala sa 22 lugar sa bansa",https://balita.mb.com.ph/2023/05/29/dangerous-heat-index-naitala-sa-22-lugar-sa-bansa/,"May 29,  2023"
"Fishing ban, ipinatutupad pa rin sa 3 lugar sa Oriental Mindoro",https://balita.mb.com.ph/2023/05/29/fishing-ban-ipinatutupad-pa-rin-sa-3-lugar-sa-oriental-mindoro/,"May 29,  2023"
"'Mas mahigpit na parusa', naghihintay raw kay Teves",https://balita.mb.com.ph/2023/05/29/mas-mahigpit-na-parusa-naghihintay-raw-kay-teves/,"May 29,  2023"
"PCG, magsasagawa ng first-ever trilateral maritime exercise kasama ang US, Japan Coast Guards",https://balita.mb.com.ph/2023/05/29/pcg-magsasagawa-ng-first-ever-trilateral-maritime-exercise-kasama-ang-us-japan-coast-guards/,"May 29,  2023"
"Ipinakalat na dahil sa bagyo: 27,000 pulis, tutulong sa posibleng rescue and relief ops",https://balita.mb.com.ph/2023/05/29/ipinakalat-na-dahil-sa-bagyo-27000-pulis-tutulong-sa-posibleng-rescue-and-relief-ops/,"May 29,  2023"
"Typhoon Betty, patuloy na bumabagal; 2 probinsya sa Luzon, Signal No. 2 pa rin",https://balita.mb.com.ph/2023/05/29/typhoon-betty-patuloy-na-bumabagal-2-probinsya-sa-luzon-signal-no-2-pa-rin/,"May 29,  2023"
"Ex-Surigao del Sur mayor, inabsuwelto ng Sandiganbayan sa malversation case",https://balita.mb.com.ph/2023/05/29/ex-surigao-del-sur-mayor-inabsuwelto-ng-sandiganbayan-sa-malversation-case/,"May 29,  2023"
"Atty. Joji Alonso, ‘di palalampasin 'pag-discredit', ‘malign’ sa celebrity client; composer Lolito Go, sumagot",https://balita.mb.com.ph/2023/05/29/atty-joji-alonso-di-palalampasin-pag-discredit-malign-sa-celebrity-client-composer-lolito-go-sumagot/,"May 29,  2023"
"DOH, nakapagtala ng 11,667 bagong Covid-19 cases sa bansa",https://balita.mb.com.ph/2023/05/29/doh-nakapagtala-ng-11667-bagong-covid-19-cases-sa-bansa/,"May 29,  2023"
"Lacuna: Pagpaparangal at paggalang sa watawat ng Pilipinas, isapuso",https://balita.mb.com.ph/2023/05/29/lacuna-pagpaparangal-at-paggalang-sa-watawat-ng-pilipinas-isapuso/,"May 29,  2023"
"MM, handa na sa pananalasa ng bagyong Betty",https://balita.mb.com.ph/2023/05/29/mm-handa-na-sa-pananalasa-ng-bagyong-betty/,"May 29,  2023"
"111 Sarangani farmers, binigyan ng sakahan -- DAR",https://balita.mb.com.ph/2023/05/29/111-sarangani-farmers-binigyan-ng-sakahan-dar/,"May 29,  2023"
"4-anyos na lalaki, natagpuang patay sa loob ng washing machine sa Las Piñas",https://balita.mb.com.ph/2023/05/29/4-anyos-na-lalaki-natagpuang-patay-sa-loob-ng-washing-machine-sa-las-pinas/,"May 29,  2023"
"2 amasona, 2 pang kasamahan patay sa sagupaan sa N. Samar",https://balita.mb.com.ph/2023/05/29/2-amasona-2-pang-kasamahan-patay-sa-sagupaan-sa-n-samar/,"May 29,  2023"
"Relief goods para sa mga maaapektuhan ng bagyong Betty, sapat -- DSWD",https://balita.mb.com.ph/2023/05/29/relief-goods-para-sa-mga-maaapektuhan-ng-bagyong-betty-sapat-dswd/,"May 29,  2023"
"Chinese na nagpanggap na Pinoy, ipade-deport na! -- BI",https://balita.mb.com.ph/2023/05/29/chinese-na-nagpanggap-na-pinoy-ipade-deport-na-bi/,"May 29,  2023"
'Betty' inaasahang lalabas ng bansa sa Biyernes,https://balita.mb.com.ph/2023/05/29/betty-inaasahang-lalabas-ng-bansa-sa-biyernes/,"May 29,  2023"
"Typhoon Betty, bahagyang bumagal; 2 probinsya sa Luzon, nananatili sa Signal No. 2",https://balita.mb.com.ph/2023/05/29/typhoon-betty-bahagyang-bumagal-2-probinsya-sa-luzon-nananatili-sa-signal-no-2/,"May 29,  2023"
"Josh Cullen ng SB19, trending sa pagiging Binibining Pilipinas judge",https://balita.mb.com.ph/2023/05/29/josh-cullen-ng-sb19-trending-sa-pagiging-binibining-pilipinas-judge/,"May 29,  2023"
"'Buwisit!' Arci Muñoz, banas sa airlines sa Malaysia",https://balita.mb.com.ph/2023/05/29/buwisit-arci-munoz-banas-sa-airlines-sa-malaysia/,"May 29,  2023"
"3 lugar sa Luzon, itinaas na sa Signal No. 2 dahil sa Typhoon Betty",https://balita.mb.com.ph/2023/05/29/3-lugar-sa-luzon-itinaas-na-sa-signal-no-2-dahil-sa-typhoon-betty/,"May 29,  2023"
"38 pasahero, nailigtas sa sumadsad na barko sa Siargao",https://balita.mb.com.ph/2023/05/29/38-pasahero-nailigtas-sa-sumadsad-na-barko-sa-siargao/,"May 29,  2023"
"Sharon Cuneta, sinunog basher na nagsabing sipsip siya kay Coco Martin",https://balita.mb.com.ph/2023/05/29/sharon-cuneta-sinunog-basher-na-nagsabing-sipsip-siya-kay-coco-martin/,"May 29,  2023"
Xander Arizala may mensahe sa mga umookray na 'mukha siyang pera',https://balita.mb.com.ph/2023/05/29/xander-arizala-may-mensahe-sa-mga-umookray-na-mukha-siyang-pera/,"May 29,  2023"
"Binibining Pilipinas 2023 queens, kinoronahan na!",https://balita.mb.com.ph/2023/05/29/binibining-pilipinas-2023-queens-kinoronahan-na/,"May 29,  2023"
"'Di nagkasundo sa porsyento ng kita?' Willie Revillame, di na raw matutuloy sa VIVA",https://balita.mb.com.ph/2023/05/29/di-nagkasundo-sa-porsyento-ng-kita-willie-revillame-di-na-raw-matutuloy-sa-viva/,"May 29,  2023"
'I honor my body!' Dimples Romana nag-flex ng kaseksihan,https://balita.mb.com.ph/2023/05/29/i-honor-my-body-dimples-romana-nag-flex-ng-kaseksihan/,"May 29,  2023"
"Xyriel Manabat, may pa-jowa reveal sa TikTok; sinopla nagsabing 'Ba't yan?'",https://balita.mb.com.ph/2023/05/29/xyriel-manabat-may-pa-jowa-reveal-sa-tiktok-sinopla-nagsabing-bat-yan/,"May 29,  2023"
"Palabang Loisa Andalio, 'binanatan' ang Star Magic dahil kay Ronnie Alonte?",https://balita.mb.com.ph/2023/05/29/palabang-loisa-andalio-binanatan-ang-star-magic-dahil-kay-ronnie-alonte/,"May 29,  2023"
"Gladys Reyes, na-surprise sa Senior High graduation ng anak sa pagiging first honor",https://balita.mb.com.ph/2023/05/29/gladys-reyes-na-surprise-sa-senior-high-graduation-ng-anak-sa-pagiging-first-honor/,"May 29,  2023"
